Mass,Raideur,Friction,Amplitude,Time_Stop
100,10000,500,3.0239127401417476,0.3363363363363363
100,11000,500,3.020927111651471,0.3203203203203203
100,12000,500,3.019975709503769,0.30430430430430433
100,13000,500,3.0190244086737676,0.2962962962962963
100,14000,500,3.01807320915498,0.2802802802802803
100,15000,500,3.0171221109409188,0.2722722722722722
100,16000,500,3.016171114025099,0.26426426426426425
100,17000,500,3.015220218401033,0.25625625625625625
100,18000,500,3.014269424062235,0.24824824824824826
100,19000,500,3.0133187310022196,0.24024024024024024
100,20000,500,3.012368139214501,0.23223223223223222
100,21000,500,3.011417648692594,0.22422422422422428
100,22000,500,3.0104672594300146,0.22422422422422422
100,23000,500,3.009516971420277,0.21621621621621617
100,24000,500,3.0085667846568986,0.2082082082082082
100,25000,500,3.007616699133394,0.2082082082082082
100,26000,500,3.0066667148432797,0.20020020020020018
100,27000,500,3.0057168317800733,0.20020020020020024
100,28000,500,3.0047670499372914,0.1921921921921922
100,29000,500,3.003817369308451,0.19219219219219214
100,30000,500,3.0028677898870693,0.18418418418418414
100,31000,500,3.0019183116666652,0.1841841841841842
100,32000,500,3.0009689346407566,0.18418418418418414
100,33000,500,3.0000196588028607,0.17617617617617617
100,34000,500,3.0,0.17617617617617617
100,35000,500,3.0,0.17617617617617615
100,36000,500,3.0,0.16816816816816815
100,37000,500,3.0,0.16816816816816815
100,38000,500,3.0,0.16816816816816815
100,39000,500,3.0,0.16016016016016016
100,40000,500,3.0,0.16016016016016016
100,41000,500,3.0,0.16016016016016016
100,42000,500,3.0,0.16016016016016016
100,43000,500,3.0,0.15215215215215216
100,44000,500,3.0,0.15215215215215216
100,45000,500,3.0,0.1521521521521521
100,46000,500,3.0,0.15215215215215216
100,47000,500,3.0,0.15215215215215216
100,48000,500,3.0,0.14414414414414414
100,49000,500,3.0,0.14414414414414414
100,50000,500,3.0,0.14414414414414414
100,51000,500,3.0,0.14414414414414414
100,52000,500,3.0,0.14414414414414414
100,53000,500,3.0,0.13613613613613612
100,54000,500,3.0,0.13613613613613618
100,55000,500,3.0,0.1361361361361361
100,56000,500,3.0,0.13613613613613612
100,57000,500,3.0,0.13613613613613612
100,58000,500,3.0,0.13613613613613618
100,59000,500,3.0,0.13613613613613612
100,60000,500,3.0,0.1281281281281281
100,61000,500,3.0,0.12812812812812813
100,62000,500,3.0,0.12812812812812813
100,63000,500,3.0,0.12812812812812813
100,64000,500,3.0,0.12812812812812813
100,65000,500,3.0,0.12812812812812813
100,66000,500,3.0,0.12812812812812813
100,67000,500,3.0,0.12012012012012012
100,68000,500,3.0,0.12012012012012012
100,69000,500,3.0,0.12012012012012012
100,70000,500,3.0,0.12012012012012012
100,71000,500,3.0,0.12012012012012012
100,72000,500,3.0,0.12012012012012012
100,73000,500,3.0,0.12012012012012009
100,74000,500,3.0,0.12012012012012009
100,75000,500,3.0,0.12012012012012012
100,76000,500,3.0,0.12012012012012012
100,77000,500,3.0,0.11211211211211211
100,78000,500,3.0,0.11211211211211211
100,79000,500,3.0,0.11211211211211208
100,10000,700,3.0247832519936324,0.3489203489203489
100,11000,700,3.0228662875017567,0.3317603317603317
100,12000,700,3.0209497384219235,0.31460031460031457
100,13000,700,3.0190336046999193,0.29744029744029743
100,14000,700,3.017117886281536,0.286000286000286
100,15000,700,3.0152025831125697,0.27456027456027454
100,16000,700,3.014663156715928,0.2688402688402688
100,17000,700,3.014178077068014,0.25740025740025735
100,18000,700,3.0136930237835484,0.2516802516802517
100,19000,700,3.0132079968616696,0.2402402402402402
100,20000,700,3.012722996301515,0.2345202345202345
100,21000,700,3.012238022102225,0.22880022880022877
100,22000,700,3.0117530742629364,0.22308022308022313
100,23000,700,3.01126815278279,0.21736021736021732
100,24000,700,3.0107832576609233,0.21164021164021163
100,25000,700,3.0102983888964756,0.21164021164021163
100,26000,700,3.0098135464885853,0.2059202059202059
100,27000,700,3.009328730436391,0.20020020020020024
100,28000,700,3.0088439407390326,0.19448019448019446
100,29000,700,3.0083591773956484,0.19448019448019446
100,30000,700,3.007874440405377,0.18876018876018874
100,31000,700,3.0073897297673575,0.18876018876018874
100,32000,700,3.0069050454807296,0.18304018304018302
100,33000,700,3.006420387544631,0.18304018304018307
100,34000,700,3.0059357559582014,0.1773201773201773
100,35000,700,3.005451150720579,0.1773201773201773
100,36000,700,3.0049665718309044,0.17160017160017157
100,37000,700,3.0044820192883153,0.17160017160017163
100,38000,700,3.003997493091951,0.16588016588016585
100,39000,700,3.00351299324095,0.1658801658801659
100,40000,700,3.003028519734453,0.16016016016016013
100,41000,700,3.002544072571598,0.16016016016016013
100,42000,700,3.0020596517515243,0.16016016016016013
100,43000,700,3.00157525727337,0.15444015444015446
100,44000,700,3.001090889136276,0.1544401544401544
100,45000,700,3.0006065473393813,0.1544401544401544
100,46000,700,3.000122231881824,0.14872014872014871
100,47000,700,3.0,0.14872014872014871
100,48000,700,3.0,0.14872014872014871
100,49000,700,3.0,0.14872014872014871
100,50000,700,3.0,0.143000143000143
100,51000,700,3.0,0.143000143000143
100,52000,700,3.0,0.143000143000143
100,53000,700,3.0,0.14300014300014302
100,54000,700,3.0,0.1372801372801373
100,55000,700,3.0,0.13728013728013727
100,56000,700,3.0,0.13728013728013727
100,57000,700,3.0,0.13728013728013727
100,58000,700,3.0,0.13156013156013155
100,59000,700,3.0,0.13156013156013155
100,60000,700,3.0,0.13156013156013155
100,61000,700,3.0,0.13156013156013158
100,62000,700,3.0,0.13156013156013155
100,63000,700,3.0,0.12584012584012585
100,64000,700,3.0,0.12584012584012583
100,65000,700,3.0,0.12584012584012585
100,66000,700,3.0,0.12584012584012583
100,67000,700,3.0,0.12584012584012583
100,68000,700,3.0,0.12584012584012583
100,69000,700,3.0,0.1201201201201201
100,70000,700,3.0,0.1201201201201201
100,71000,700,3.0,0.1201201201201201
100,72000,700,3.0,0.12012012012012015
100,73000,700,3.0,0.1201201201201201
100,74000,700,3.0,0.1201201201201201
100,75000,700,3.0,0.12012012012012015
100,76000,700,3.0,0.11440011440011438
100,77000,700,3.0,0.11440011440011438
100,78000,700,3.0,0.11440011440011442
100,79000,700,3.0,0.11440011440011438
100,10000,900,3.024511962911778,0.36480925369814254
100,11000,900,3.021936835210804,0.34256478700923143
100,12000,900,3.020282358985538,0.3247692136581025
100,13000,900,3.0191232632900524,0.31142253364475586
100,14000,900,3.0179643195749613,0.29807585363140915
100,15000,900,3.016805527828263,0.2847291736180625
100,16000,900,3.015646888037961,0.27583138694249804
100,17000,900,3.0144884001920556,0.2624847069291514
100,18000,900,3.013330064278549,0.253586920253587
100,19000,900,3.012171880285445,0.24913802691580467
100,20000,900,3.011575101926477,0.24024024024024024
100,21000,900,3.011281757649074,0.2357913469024581
100,22000,900,3.0109884230174835,0.22689356022689355
100,23000,900,3.010695098031516,0.22244466688911133
100,24000,900,3.0104017826909795,0.2179957735513291
100,25000,900,3.0101084769956854,0.21354688021354695
100,26000,900,3.0098151809454414,0.20909798687576464
100,27000,900,3.0095218945400575,0.2046490935379825
100,28000,900,3.0092286177793426,0.20020020020020018
100,29000,900,3.0089353506631062,0.19575130686241796
100,30000,900,3.008642093191158,0.1913024135246357
100,31000,900,3.008348845363308,0.1868535201868535
100,32000,900,3.0080556071793634,0.1868535201868535
100,33000,900,3.0077623786391356,0.18240462684907127
100,34000,900,3.007469159742434,0.17795573351128907
100,35000,900,3.0071759504890663,0.17795573351128902
100,36000,900,3.006882750878844,0.17350684017350684
100,37000,900,3.0065895609115745,0.17350684017350684
100,38000,900,3.006296380587068,0.16905794683572462
100,39000,900,3.0060032099051344,0.16460905349794244
100,40000,900,3.005710048865582,0.1646090534979424
100,41000,900,3.005416897468221,0.16016016016016016
100,42000,900,3.005123755712861,0.16016016016016016
100,43000,900,3.004830623599311,0.16016016016016021
100,44000,900,3.0045375011273796,0.15571126682237793
100,45000,900,3.004244388296878,0.1557112668223779
100,46000,900,3.0039512851076147,0.1512623734845957
100,47000,900,3.0036581915593987,0.1512623734845957
100,48000,900,3.00336510765204,0.1512623734845957
100,49000,900,3.0030720333853473,0.14681348014681345
100,50000,900,3.002778968759131,0.14681348014681347
100,51000,900,3.0024859137731994,0.14236458680903125
100,52000,900,3.0021928684273633,0.14236458680903125
100,53000,900,3.0018998327214312,0.14236458680903125
100,54000,900,3.0016068066552126,0.1423645868090313
100,55000,900,3.0013137902285165,0.137915693471249
100,56000,900,3.0010207834411537,0.13791569347124902
100,57000,900,3.000727786292933,0.13791569347124902
100,58000,900,3.0004347987836626,0.1334668001334668
100,59000,900,3.000141820913154,0.1334668001334668
100,60000,900,3.0,0.1334668001334668
100,61000,900,3.0,0.1334668001334668
100,62000,900,3.0,0.12901790679568456
100,63000,900,3.0,0.12901790679568462
100,64000,900,3.0,0.12901790679568456
100,65000,900,3.0,0.12901790679568456
100,66000,900,3.0,0.12456901345790233
100,67000,900,3.0,0.12456901345790233
100,68000,900,3.0,0.12456901345790233
100,69000,900,3.0,0.12456901345790233
100,70000,900,3.0,0.12456901345790233
100,71000,900,3.0,0.12012012012012012
100,72000,900,3.0,0.12012012012012016
100,73000,900,3.0,0.12012012012012012
100,74000,900,3.0,0.12012012012012012
100,75000,900,3.0,0.12012012012012012
100,76000,900,3.0,0.11567122678233789
100,77000,900,3.0,0.11567122678233793
100,78000,900,3.0,0.11567122678233789
100,79000,900,3.0,0.11567122678233789
100,10000,1100,3.0239019860365164,0.38948038948038954
100,11000,1100,3.022178194521549,0.3640003640003641
100,12000,1100,3.02045474245262,0.3421603421603422
100,13000,1100,3.0187316297894125,0.32396032396032404
100,14000,1100,3.017118194915135,0.30940030940030944
100,15000,1100,3.016342535942279,0.2948402948402948
100,16000,1100,3.0155669450624747,0.28392028392028396
100,17000,1100,3.0147914222721264,0.273000273000273
100,18000,1100,3.014015967567632,0.26208026208026214
100,19000,1100,3.013240580945394,0.2548002548002548
100,20000,1100,3.0124652624018133,0.24752024752024757
100,21000,1100,3.01169001193329,0.2402402402402403
100,22000,1100,3.010914829536228,0.23296023296023302
100,23000,1100,3.0101397152070266,0.22932022932022936
100,24000,1100,3.0095592197972145,0.222040222040222
100,25000,1100,3.00936289237827,0.21840021840021842
100,26000,1100,3.0091665692812932,0.21112021112021115
100,27000,1100,3.0089702505062266,0.2074802074802075
100,28000,1100,3.008773936053014,0.2038402038402038
100,29000,1100,3.008577625921598,0.20020020020020016
100,30000,1100,3.008381320111921,0.19656019656019658
100,31000,1100,3.0081850186239256,0.19292019292019294
100,32000,1100,3.007988721457555,0.1892801892801893
100,33000,1100,3.0077924286127526,0.18564018564018567
100,34000,1100,3.0075961400894604,0.18200018200018203
100,35000,1100,3.007399855887621,0.1783601783601784
100,36000,1100,3.007203576007178,0.1783601783601784
100,37000,1100,3.0070073004480733,0.17472017472017476
100,38000,1100,3.006811029210251,0.17108017108017112
100,39000,1100,3.0066147622936525,0.1674401674401675
100,40000,1100,3.006418499698222,0.16744016744016746
100,41000,1100,3.0062222414239015,0.16380016380016382
100,42000,1100,3.006025987470634,0.16380016380016377
100,43000,1100,3.005829737838362,0.16016016016016021
100,44000,1100,3.005633492527029,0.15652015652015655
100,45000,1100,3.0054372515365766,0.1565201565201565
100,46000,1100,3.005241014866949,0.15288015288015291
100,47000,1100,3.005044782518089,0.15288015288015291
100,48000,1100,3.004848554489938,0.14924014924014925
100,49000,1100,3.00465233078244,0.14924014924014925
100,50000,1100,3.0044561113955375,0.14924014924014925
100,51000,1100,3.004259896329174,0.14560014560014561
100,52000,1100,3.0040636855832905,0.14560014560014564
100,53000,1100,3.0038674791578317,0.141960141960142
100,54000,1100,3.003671277052739,0.14196014196014198
100,55000,1100,3.003475079267958,0.14196014196014192
100,56000,1100,3.003278885803428,0.13832013832013834
100,57000,1100,3.0030826966590927,0.13832013832013834
100,58000,1100,3.0028865118348964,0.1346801346801347
100,59000,1100,3.0026903313307813,0.1346801346801347
100,60000,1100,3.0024941551466893,0.13468013468013465
100,61000,1100,3.0022979832825647,0.13104013104013107
100,62000,1100,3.002101815738349,0.13104013104013107
100,63000,1100,3.001905652513986,0.13104013104013107
100,64000,1100,3.0017094936094177,0.13104013104013107
100,65000,1100,3.0015133390245876,0.1274001274001274
100,66000,1100,3.0013171887594385,0.1274001274001274
100,67000,1100,3.0011210428139132,0.12740012740012743
100,68000,1100,3.000924901187954,0.12376012376012378
100,69000,1100,3.0007287638815034,0.12376012376012378
100,70000,1100,3.000532630894506,0.12376012376012378
100,71000,1100,3.000336502226903,0.12376012376012378
100,72000,1100,3.0001403778786386,0.12012012012012013
100,73000,1100,3.0,0.12012012012012013
100,74000,1100,3.0,0.12012012012012013
100,75000,1100,3.0,0.12012012012012013
100,76000,1100,3.0,0.1164801164801165
100,77000,1100,3.0,0.1164801164801165
100,78000,1100,3.0,0.1164801164801165
100,79000,1100,3.0,0.1164801164801165
100,10000,1300,3.02384908491184,0.42504042504042505
100,11000,1300,3.0216833516235844,0.39424039424039425
100,12000,1300,3.0200088648791383,0.3665203665203665
100,13000,1300,3.0187751939763223,0.344960344960345
100,14000,1300,3.0175416970391895,0.32648032648032643
100,15000,1300,3.0163083740529433,0.31108031108031103
100,16000,1300,3.0150752250027906,0.29876029876029875
100,17000,1300,3.0142358956597595,0.2864402864402864
100,18000,1300,3.0136807181934184,0.2741202741202741
100,19000,1300,3.013125575626654,0.2648802648802649
100,20000,1300,3.0125704679581453,0.25564025564025566
100,21000,1300,3.012015395186573,0.2494802494802495
