,Mass,Raideur,Friction,Amplitude,Time_Stop
0,450,10000,500,10.21203654445571,0.7177185621427583
1,450,11000,500,10.196292857681907,0.67994390097735
2,450,12000,500,10.180557443938419,0.6421692398119416
3,450,13000,500,10.16483030060835,0.6169861323683361
4,450,14000,500,10.149947030212239,0.5918030249247306
5,450,15000,500,10.142931250165283,0.5792114712029277
6,450,16000,500,10.13591711160155,0.5540283637593222
7,450,17000,500,10.128904614290086,0.5414368100375194
8,450,18000,500,10.121893757999976,0.5288452563157167
9,450,19000,500,10.114884542500311,0.5036621488721111
10,450,20000,500,10.10787696756022,0.4910705951503083
11,450,21000,500,10.100871032948838,0.47847904142850556
12,450,22000,500,10.093866738435343,0.46588748770670274
13,450,23000,500,10.086864083788923,0.46588748770670274
14,450,24000,500,10.082809510465399,0.4532959339849
15,450,25000,500,10.081051244554313,0.4407043802630972
16,450,26000,500,10.07929308167969,0.42811282654129446
17,450,27000,500,10.077535021837896,0.42811282654129446
18,450,28000,500,10.07577706502531,0.41552127281949164
19,450,29000,500,10.074019211238307,0.4029297190976889
20,450,30000,500,10.072261460473253,0.4029297190976889
21,450,31000,500,10.070503812726525,0.3903381653758861
22,450,32000,500,10.068746267994497,0.3903381653758861
23,450,33000,500,10.06698882627354,0.3777466116540833
24,450,34000,500,10.065231487560032,0.3777466116540833
25,450,35000,500,10.063474251850344,0.36515505793228054
26,450,36000,500,10.061717119140852,0.36515505793228054
27,450,37000,500,10.059960089427923,0.36515505793228054
28,450,38000,500,10.058203162707937,0.3525635042104778
29,450,39000,500,10.056446338977265,0.3525635042104778
30,450,40000,500,10.054689618232288,0.339971950488675
31,450,41000,500,10.052933000469372,0.339971950488675
32,450,42000,500,10.051176485684891,0.339971950488675
33,450,43000,500,10.049420073875227,0.3273803967668722
34,450,44000,500,10.047663765036749,0.3273803967668722
35,450,45000,500,10.045907559165832,0.3273803967668722
36,450,46000,500,10.04415145625885,0.31478884304506943
37,450,47000,500,10.04239545631218,0.31478884304506943
38,450,48000,500,10.0406395593222,0.31478884304506943
39,450,49000,500,10.038883765285277,0.31478884304506943
40,450,50000,500,10.03712807419779,0.30219728932326667
41,450,51000,500,10.035372486056115,0.30219728932326667
42,450,52000,500,10.033617000856626,0.30219728932326667
43,450,53000,500,10.031861618595698,0.30219728932326667
44,450,54000,500,10.030106339269711,0.28960573560146385
45,450,55000,500,10.028351162875031,0.28960573560146385
46,450,56000,500,10.026596089408041,0.28960573560146385
47,450,57000,500,10.024841118865115,0.28960573560146385
48,450,58000,500,10.023086251242628,0.28960573560146385
49,450,59000,500,10.021331486536956,0.2770141818796611
50,450,60000,500,10.019576824744476,0.2770141818796611
51,450,61000,500,10.017822265861563,0.2770141818796611
52,450,62000,500,10.016067809884595,0.2770141818796611
53,450,63000,500,10.014313456809944,0.2770141818796611
54,450,64000,500,10.012559206633991,0.26442262815785833
55,450,65000,500,10.01080505935311,0.26442262815785833
56,450,66000,500,10.009051014963676,0.26442262815785833
57,450,67000,500,10.00729707346207,0.26442262815785833
58,450,68000,500,10.005543234844664,0.26442262815785833
59,450,69000,500,10.003789499107839,0.26442262815785833
60,450,70000,500,10.002035866247967,0.26442262815785833
61,450,71000,500,10.000282336261428,0.25183107443605557
62,450,72000,500,10.0,0.25183107443605557
63,450,73000,500,10.0,0.25183107443605557
64,450,74000,500,10.0,0.25183107443605557
65,450,75000,500,10.0,0.25183107443605557
66,450,76000,500,10.0,0.25183107443605557
67,450,77000,500,10.0,0.25183107443605557
68,450,78000,500,10.0,0.23923952071425278
69,450,79000,500,10.0,0.23923952071425278
70,450,10000,700,10.209848825980236,0.7177185621427583
71,450,11000,700,10.194192710871633,0.67994390097735
72,450,12000,700,10.17854481361014,0.6547607935337444
73,450,13000,700,10.162905131597574,0.6295776860901389
74,450,14000,700,10.148934631221668,0.6043945786465333
75,450,15000,700,10.141944921946603,0.5792114712029277
76,450,16000,700,10.134956846838772,0.5540283637593222
77,450,17000,700,10.127970405668327,0.5414368100375194
78,450,18000,700,10.120985598205445,0.5288452563157167
79,450,19000,700,10.114002424220335,0.5162537025939139
80,450,20000,700,10.107020883483214,0.4910705951503083
81,450,21000,700,10.100040975764331,0.47847904142850556
82,450,22000,700,10.093062700833958,0.46588748770670274
83,450,23000,700,10.086086058462389,0.46588748770670274
84,450,24000,700,10.082539736701618,0.4532959339849
85,450,25000,700,10.080784744368227,0.4407043802630972
86,450,26000,700,10.079029854841162,0.42811282654129446
87,450,27000,700,10.077275068116808,0.42811282654129446
88,450,28000,700,10.075520384191545,0.41552127281949164
89,450,29000,700,10.073765803061756,0.4029297190976889
90,450,30000,700,10.072011324723816,0.4029297190976889
91,450,31000,700,10.070256949174118,0.3903381653758861
92,450,32000,700,10.068502676409036,0.3903381653758861
